tiket	ticket
timur	east
tinggal	stay, live
tinggi	high
tolong	to help
topi	hat
tradisi	tradition
tugas	duty
tujuan	destination
tujuh	seven
tunggu	to wait
tunjuk	to show
turis	tourist
turun	go down
ucapan	pronounciation
udara	air
ukuran	size
ulang	to repeat
umum	public, common
untuk	for
upacara	ceremony
wajah	face
wakil	representatives, vice
waktu	time
warna	colour, color
warang	stall
wisatawan	tourist
yaitu	is, are, namely
yang	who, that, which
